Date,Time,Contracts,Funding Rate
2019/12/30,08:00:00,BTCUSDT Perpetual,-0.01
2019/12/30,16:00:00,BTCUSDT Perpetual,-0.02
2019/12/31,00:00:00,BTCUSDT Perpetual,0.0
2019/12/31,08:00:00,BTCUSDT Perpetual,0.0
2019/12/31,16:00:00,BTCUSDT Perpetual,-0.01
2020/1/1,00:00:00,BTCUSDT Perpetual,0.0
2020/1/1,08:00:00,BTCUSDT Perpetual,-0.01
2020/1/1,16:00:00,BTCUSDT Perpetual,-0.01
2020/1/2,00:00:00,BTCUSDT Perpetual,-0.01
2020/1/2,08:00:00,BTCUSDT Perpetual,0.0
2020/1/2,16:00:00,BTCUSDT Perpetual,0.01
2020/1/3,00:00:00,BTCUSDT Perpetual,0.0
2020/1/3,08:00:00,BTCUSDT Perpetual,0.0
2020/1/3,16:00:00,BTCUSDT Perpetual,0.0
2020/1/4,00:00:00,BTCUSDT Perpetual,0.01
2020/1/4,08:00:00,BTCUSDT Perpetual,0.01
2020/1/4,16:00:00,BTCUSDT Perpetual,0.0
2020/1/5,00:00:00,BTCUSDT Perpetual,0.01
2020/1/5,08:00:00,BTCUSDT Perpetual,0.01
2020/1/5,16:00:00,BTCUSDT Perpetual,0.01
2020/1/6,00:00:00,BTCUSDT Perpetual,0.01
2020/1/6,08:00:00,BTCUSDT Perpetual,0.01
2020/1/6,16:00:00,BTCUSDT Perpetual,0.01
2020/1/7,00:00:00,BTCUSDT Perpetual,0.01
2020/1/7,08:00:00,BTCUSDT Perpetual,0.01
2020/1/7,16:00:00,BTCUSDT Perpetual,0.01
2020/1/8,00:00:00,BTCUSDT Perpetual,0.01
2020/1/8,08:00:00,BTCUSDT Perpetual,0.01
2020/1/8,16:00:00,BTCUSDT Perpetual,0.01
2020/1/9,00:00:00,BTCUSDT Perpetual,0.01
2020/1/9,08:00:00,BTCUSDT Perpetual,0.01
2020/1/9,16:00:00,BTCUSDT Perpetual,0.01
2020/1/10,00:00:00,BTCUSDT Perpetual,0.01
2020/1/10,08:00:00,BTCUSDT Perpetual,0.01
2020/1/10,16:00:00,BTCUSDT Perpetual,0.01
2020/1/11,00:00:00,BTCUSDT Perpetual,0.01
2020/1/11,08:00:00,BTCUSDT Perpetual,0.01
2020/1/11,16:00:00,BTCUSDT Perpetual,0.02
2020/1/12,00:00:00,BTCUSDT Perpetual,0.01
2020/1/12,08:00:00,BTCUSDT Perpetual,0.01
2020/1/12,16:00:00,BTCUSDT Perpetual,0.01
2020/1/13,00:00:00,BTCUSDT Perpetual,0.01
2020/1/13,08:00:00,BTCUSDT Perpetual,0.01
2020/1/13,16:00:00,BTCUSDT Perpetual,0.01
2020/1/14,00:00:00,BTCUSDT Perpetual,0.01
2020/1/14,08:00:00,BTCUSDT Perpetual,0.01
2020/1/14,16:00:00,BTCUSDT Perpetual,0.03
2020/1/15,00:00:00,BTCUSDT Perpetual,0.01
2020/1/15,08:00:00,BTCUSDT Perpetual,0.05
2020/1/15,16:00:00,BTCUSDT Perpetual,0.02
2020/1/16,00:00:00,BTCUSDT Perpetual,0.01
2020/1/16,08:00:00,BTCUSDT Perpetual,0.01
2020/1/16,16:00:00,BTCUSDT Perpetual,0.04
2020/1/17,00:00:00,BTCUSDT Perpetual,0.03
2020/1/17,08:00:00,BTCUSDT Perpetual,0.01
2020/1/17,16:00:00,BTCUSDT Perpetual,0.02
2020/1/18,00:00:00,BTCUSDT Perpetual,0.06
2020/1/18,08:00:00,BTCUSDT Perpetual,0.01
2020/1/18,16:00:00,BTCUSDT Perpetual,0.03
2020/1/19,00:00:00,BTCUSDT Perpetual,0.03
2020/1/19,08:00:00,BTCUSDT Perpetual,0.02
2020/1/19,16:00:00,BTCUSDT Perpetual,0.04
2020/1/20,00:00:00,BTCUSDT Perpetual,0.09
2020/1/20,08:00:00,BTCUSDT Perpetual,0.03
2020/1/20,16:00:00,BTCUSDT Perpetual,0.01
2020/1/21,00:00:00,BTCUSDT Perpetual,0.01
2020/1/21,08:00:00,BTCUSDT Perpetual,0.01
2020/1/21,16:00:00,BTCUSDT Perpetual,0.02
2020/1/22,00:00:00,BTCUSDT Perpetual,0.02
2020/1/22,08:00:00,BTCUSDT Perpetual,0.01
2020/1/22,16:00:00,BTCUSDT Perpetual,0.02
2020/1/23,00:00:00,BTCUSDT Perpetual,0.01
2020/1/23,08:00:00,BTCUSDT Perpetual,0.01
2020/1/23,16:00:00,BTCUSDT Perpetual,0.01
2020/1/24,00:00:00,BTCUSDT Perpetual,0.05
2020/1/24,08:00:00,BTCUSDT Perpetual,0.05
2020/1/24,16:00:00,BTCUSDT Perpetual,0.04
2020/1/25,00:00:00,BTCUSDT Perpetual,0.02
2020/1/25,08:00:00,BTCUSDT Perpetual,0.01
2020/1/25,16:00:00,BTCUSDT Perpetual,0.01
2020/1/26,00:00:00,BTCUSDT Perpetual,0.01
2020/1/26,08:00:00,BTCUSDT Perpetual,0.01
2020/1/26,16:00:00,BTCUSDT Perpetual,0.01
2020/1/27,00:00:00,BTCUSDT Perpetual,0.01
2020/1/27,08:00:00,BTCUSDT Perpetual,0.01
2020/1/27,16:00:00,BTCUSDT Perpetual,0.01
2020/1/28,00:00:00,BTCUSDT Perpetual,0.01
2020/1/28,08:00:00,BTCUSDT Perpetual,0.01
2020/1/28,16:00:00,BTCUSDT Perpetual,0.07
